ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),delivery_time_mins,weather_clean,is_late,distance_km
0xb379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,25/03/22,19:45:00,19:50:00,conditions Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,(min) 33,33,Stormy,1,20.18
0x5d6d,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,19/03/22,8:30:00,8:45:00,conditions Sandstorms,Low,0,Drinks,motorcycle,1,No,Urban,(min) 26,26,Sandstorms,0,1.55
0x2288,BANGRES09DEL03,32,4.0,12.934179,77.615797,13.024179,77.705797,16/03/22,21:20:00,21:35:00,conditions Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 47,47,Windy,1,13.97
0x9d26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,28/03/22,8:40:00,8:55:00,conditions Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,(min) 11,11,Stormy,0,3.11
0x9b18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,18/03/22,23:00:00,23:10:00,conditions Fog,Low,1,Snack,motorcycle,1,No,Metropolitian,(min) 28,28,Fog,0,10.87
0x63b6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,19/03/22,19:00:00,19:15:00,conditions Windy,Medium,1,Drinks,scooter,1,No,Metropolitian,(min) 25,25,Windy,0,9.32
0x25fd,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,25/03/22,22:45:00,22:55:00,conditions Stormy,Low,2,Drinks,scooter,1,No,Metropolitian,(min) 23,23,Stormy,0,17.08
0x633c,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,29/03/22,20:50:00,21:00:00,conditions Fog,Jam,1,Drinks,scooter,2,No,Metropolitian,(min) 44,44,Fog,1,13.97
0x903a,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,10/03/22,21:00:00,21:15:00,conditions Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,(min) 42,42,Cloudy,1,17.08
0x1d60,BANGRES12DEL01,24,5.0,12.939496,77.625999,12.949496,77.635999,01/03/22,10:50:00,10:55:00,conditions Fog,Low,0,Drinks,motorcycle,1,No,Metropolitian,(min) 23,23,Fog,0,1.55
0x22ad,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,04/03/22,21:25:00,21:40:00,conditions Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 29,29,Sandstorms,0,13.97
0x628c,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,01/03/22,22:15:00,22:25:00,conditions Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,(min) 24,24,Sandstorms,0,7.76
0xa480,BANGRES19DEL02,27,4.6,12.914264,77.6784,12.994264,77.7584,31/03/22,23:30:00,23:35:00,conditions Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,(min) 21,21,Sunny,0,12.42
0x1602,BANGRES010DEL03,21,4.9,12.933298,77.614293,13.023298,77.704293,12/03/22,17:45:00,18:00:00,conditions Windy,Medium,0,Drinks,motorcycle,2,No,Metropolitian,(min) 36,36,Windy,1,13.97
0x20f6,BANGRES11DEL03,20,4.6,12.934365,77.616155,13.024365,77.706155,18/03/22,20:35:00,20:50:00,conditions Fog,Jam,0,Buffet,motorcycle,0,Yes,Metropolitian,(min) 44,44,Fog,1,13.97
0x81a5,BANGRES04DEL03,26,4.4,12.98041,77.640489,13.04041,77.700489,07/03/22,23:20:00,23:30:00,conditions Sandstorms,Low,0,Buffet,motorcycle,0,No,NaN,(min) 23,23,Sandstorms,0,9.31
0xa0a5,BANGRES14DEL03,26,4.8,12.949934,77.699386,13.009934,77.759386,09/03/22,19:35:00,19:40:00,conditions Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,(min) 23,23,Sandstorms,0,9.32
0x1568,BANGRES01DEL01,36,4.8,12.933284,77.615428,13.003284,77.685428,06/03/22,17:55:00,18:10:00,conditions Fog,Medium,0,Snack,motorcycle,1,No,Metropolitian,(min) 43,43,Fog,1,10.87
0x2192,BANGRES07DEL01,32,4.1,12.978453,77.643685,13.048453,77.713685,29/03/22,18:15:00,18:30:00,conditions Sandstorms,Medium,0,Buffet,motorcycle,1,No,Metropolitian,(min) 33,33,Sandstorms,1,10.87
